source,title,price,location,room_number,size,listing type,city
Bayut,Villa,900.0,"Al Sifah, Muscat",4.0,900.0,,Al Sifah
Bayut,Residential Land,100.0,"Adam, Al Dakhiliya",,700.0,,Adam
Bayut,Residential Land,140.0,"Barka, Al Batinah",,17829.0,,Barka
Bayut,Residential Land,820.0,"Al Bustan, Muscat",,11453.0,,Al Bustan
Bayut,Residential Land,999.0,"Sohar, Al Batinah",,1525.0,,Sohar
Bayut,Residential Land,200.0,"Al Rusayl, Muscat",,1402.0,,Al Rusayl
Bayut,Residential Land,950.0,"Azaiba, Muscat",,20544.0,,Azaiba
Bayut,Residential Land,195.0,"Bosher, Muscat",,802.0,,Bosher
Bayut,Residential Land,250.0,"Nizwa, Al Dakhiliya",,500.0,,Nizwa
Bayut,Residential Land,300.0,"Al Duqum, Al Wusta",,30000.0,,Al Duqum
Bayut,Residential Land,100.0,"Masira, Al Sharqiya",,660.0,,Masira
Bayut,Residential Land,300.0,"Jalan Bani Buhassan, Al Sharqiya",,1000.0,,Jalan Bani Buhassan
Bayut,Residential Land,100.0,"Bidiya, Al Sharqiya",,450.0,,Bidiya
Bayut,Residential Land,500.0,"Ghala, Muscat",,2934.0,,Ghala
Bayut,Residential Land,135.0,"Al Mawaleh, Muscat",,605.0,,Al Mawaleh
Bayut,Residential Land,115.0,"Al Hail, Muscat",,735.0,,Al Hail
Bayut,Residential Land,460.0,"Misfah, Muscat",,80000.0,,Misfah
Bayut,Residential Land,110.0,"Al Maabilah, Muscat",,400.0,,Al Maabilah
Bayut,Residential Land,100.0,"Al Amarat, Muscat",,600.0,,Al Amarat
Bayut,Residential Land,100.0,"Barka, Al Batinah",,1000.0,,Barka
Bayut,Residential Land,786.0,"Al Khuwair, Muscat",,786.0,,Al Khuwair
Bayut,Residential Land,500.0,"Al Khoud, Muscat",,5000.0,,Al Khoud
Bayut,Residential Land,100.0,"Al Seeb, Muscat",,100.0,,Al Seeb
Bayut,Apartment,600.0,"Mahut, Al Wusta",1.0,10.0,,Mahut
