source,title,price,location,size,listing_type,link
OpenSooq,118 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,"45,000 OMR",", Bosher, 964439XX",118 m²,Property for Sale,https://om.opensooq.com/en/search/264252105
OpenSooq,Building for Sale in Muscat Ghala,"950,000 OMR",", Ghala, 924618XX",2200 m²,Property for Sale,https://om.opensooq.com/en/search/253985415
OpenSooq,77 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"31,000 OMR",", Azaiba, 715560XX",77 m²,Property for Sale,https://om.opensooq.com/en/search/266186647
OpenSooq,52 m2 Studio Apartments for Sale in Muscat Al Mawaleh,"29,000 OMR",", Al Mawaleh, 964439XX",52 m²,Property for Sale,https://om.opensooq.com/en/search/265496647
OpenSooq,320 m2 5 Bedrooms Villa for Sale in Muscat Quriyat,"100,000 OMR",", Quriyat, 985055XX",320 m²,Property for Sale,https://om.opensooq.com/en/search/266519035
OpenSooq,129 m2 3 Bedrooms Apartments for Sale in Muscat Ghala,"57,000 OMR",", Ghala, 772939XX",129 m²,Property for Sale,https://om.opensooq.com/en/search/266458837
OpenSooq,Industrial Land for Sale in Al Dakhiliya Sumail,"85,000 OMR",", Sumail, 715560XX",,Property for Sale,https://om.opensooq.com/en/search/266634703
OpenSooq,3 Bedrooms Farms for Sale in Al Sharqiya Sur,"75,000 OMR",", Sur, 992132XX",261 m²,Property for Sale,https://om.opensooq.com/en/search/265783507
OpenSooq,Farm Land for Sale in Al Batinah Al Masnaah,"37,000 OMR",", Al Masnaah, 990455XX",,Property for Sale,https://om.opensooq.com/en/search/266898525
OpenSooq,320 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"75,000 OMR",", Al Maabilah, 715560XX",320 m²,Property for Sale,https://om.opensooq.com/en/search/265883923
OpenSooq,فرصة لا تكرر ! امتلك محلك في قلب صلالة بقسط شهري يبدأ من 165 ر.ع فقط وعائد استثماري يتجاوز 11% سنويا,"19,000 OMR",", Salala, 931911XX",20 m²,Property for Sale,https://om.opensooq.com/en/search/255894079
OpenSooq,322 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"85,000 OMR",", Al Maabilah, 919113XX",322 m²,Property for Sale,https://om.opensooq.com/en/search/266463065
OpenSooq,102 m2 2 Bedrooms Apartments for Sale in Muscat Al-Hail,"51,000 OMR",", Al-Hail, 931911XX",102 m²,Property for Sale,https://om.opensooq.com/en/search/264199699
OpenSooq,91 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,"32,000 OMR",", Salala, 917766XX",91 m²,Property for Sale,https://om.opensooq.com/en/search/264197407
OpenSooq,695 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh,"295,000 OMR",", Al Mawaleh, 967610XX",695 m²,Property for Sale,https://om.opensooq.com/en/search/266462611
OpenSooq,304 m2 5 Bedrooms Villa for Sale in Al Batinah Sohar,"39,353 OMR",", Sohar, 931911XX",304 m²,Property for Sale,https://om.opensooq.com/en/search/253724565
OpenSooq,223 m2 4 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,"39,500 OMR",", Suwaiq, 965527XX",223 m²,Property for Sale,https://om.opensooq.com/en/search/264478207
OpenSooq,97 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"33,500 OMR",", Al Mawaleh, 964439XX",97 m²,Property for Sale,https://om.opensooq.com/en/search/265545081
OpenSooq,Residential Land for Sale in Muscat Amerat,"11,000 OMR",", Amerat, 970008XX",,Property for Sale,https://om.opensooq.com/en/search/266086995
OpenSooq,320 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"69,000 OMR",", Amerat, 935923XX",320 m²,Property for Sale,https://om.opensooq.com/en/search/265888493
OpenSooq,مكاتب ذكية للبيع  في غلا الاولي مساحات متنوعه  مباشرة من المالك,"37,000 OMR",", Ghala, 992144XX",56 m²,Property for Sale,https://om.opensooq.com/en/search/254777597
OpenSooq,223 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,"36,000 OMR",", Saham, 711272XX",223 m²,Property for Sale,https://om.opensooq.com/en/search/265667825
OpenSooq,220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,"37,000 OMR",", Saham, 947008XX",220 m²,Property for Sale,https://om.opensooq.com/en/search/263674373
OpenSooq,Residential Land for Sale in Al Batinah Barka,"34,000 OMR",", Barka, 970041XX",,Property for Sale,https://om.opensooq.com/en/search/266249821
